ngo_id,ngo_name,ngo_city_raw,ngo_city_clean,org_type,avg_response_time_hours,ngo_reliability_score,complaint_rate,active_tasks_count
ngo_0000,Образовательный центр «Точка роста»,  САНКТ-ПЕТЕРБУРГ  ,Санкт-Петербург,Образовательный проект,10,0.665,0.143,2
ngo_0001,АНО «Социальный фокус»,Санкт-Петербург,Санкт-Петербург,Некоммерческая организация,10,0.924,0.052,2
ngo_0002,Волонтёрский центр «Омские добровольцы», Казань ,Казань,Волонтёрский центр,4,0.62,0.045,4
ngo_0003,АНО «Социальный ориентир»,Воронеж,Воронеж,Некоммерческая организация,10,0.586,0.031,3
ngo_0004,Благотворительный фонд «Зелёная планета», ОМСК ,Омск,Благотворительный фонд,16,0.662,0.129,3
ngo_0005,Центр добровольчества «Тверские волонтёры», Санкт-Петербург ,Санкт-Петербург,Волонтёрский центр,20,0.637,0.021,4
ngo_0006,Волонтёрский центр «Открытое сердце»,Москва,Москва,Волонтёрский центр,6,0.516,0.012,6
ngo_0007,Центр добровольчества «Калужские волонтёры»,РОСТОВ-НА-ДОНУ,Ростов-на-Дону,Волонтёрский центр,7,0.856,0.161,2
ngo_0008,АНО «Поддержка и развитие»,МОСКВА,Москва,Некоммерческая организация,5,0.844,0.242,0
ngo_0009,Образовательный проект «Академия волонтёра»,Казань,Казань,Образовательный проект,10,0.822,0.082,3
ngo_0010,Образовательный проект «Ресурсный класс», КАЗАНЬ ,Казань,Образовательный проект,4,0.565,0.025,3
ngo_0011,АНО «Добрый знак», ЧЕЛЯБИНСК ,Челябинск,Некоммерческая организация,7,0.916,0.039,3
ngo_0012,Центр добровольчества «Единство»,КРАСНОЯРСК,Красноярск,Волонтёрский центр,12,0.718,0.069,3
ngo_0013,Инициатива «Территория без насилия»,МОСКВА,Москва,Социальная инициатива,11,0.656,0.134,5
ngo_0014,Инициатива «Горячая линия доброй помощи»,  САНКТ-ПЕТЕРБУРГ  ,Санкт-Петербург,Социальная инициатива,10,0.849,0.068,2
ngo_0015,Волонтёрский центр «Добровольцы Бурятии»,Москва,Москва,Волонтёрский центр,14,0.821,0.038,4
ngo_0016,АНО «Путь к участию»,МОСКВА,Москва,Некоммерческая организация,17,0.921,0.111,9
ngo_0017,Просветительская инициатива «Не молчи»,Санкт-Петербург,Санкт-Петербург,Образовательный проект,9,0.824,0.005,0
ngo_0018,АНО «Активная позиция»,Ростов-на-Дону,Ростов-на-Дону,Некоммерческая организация,12,0.784,0.014,6
ngo_0019,Образовательный проект «Ментальное здоровье»,НОВОСИБИРСК,Новосибирск,Образовательный проект,15,0.68,0.049,6
ngo_0020,Благотворительный фонд «Всё будет хорошо»,Санкт-Петербург,Санкт-Петербург,Благотворительный фонд,7,0.908,0.387,4
ngo_0021,АНО «Открытое сообщество», Санкт-Петербург ,Санкт-Петербург,Некоммерческая организация,9,0.543,0.051,4
ngo_0022,Центр добровольчества «Воронежские добровольцы», Воронеж ,Воронеж,Волонтёрский центр,6,0.837,0.084,6
ngo_0023,Инициатива «Волонтёры у ночлежки», Самара ,Самара,Социальная инициатива,9,0.847,0.025,3
ngo_0024,Волонтёрский центр «Тамбовские добровольцы»,КРАСНОЯРСК,Красноярск,Волонтёрский центр,10,0.863,0.037,3
ngo_0025,АНО «Голос сообщества»,Омск,Омск,Некоммерческая организация,5,0.856,0.175,2
ngo_0026,Просветительский центр «Наставник»,Ростов-на-Дону,Ростов-на-Дону,Образовательный проект,6,0.748,0.032,2
ngo_0027,Благотворительный фонд «Реабилитация и жизнь»,НОВОСИБИРСК,Новосибирск,Благотворительный фонд,10,0.834,0.024,4
ngo_0028,Просветительский центр «Инклюзия без границ», Волгоград ,Волгоград,Образовательный проект,16,0.797,0.08,6
ngo_0029,Инициатива «Приют для всех»,Санкт-Петербург,Санкт-Петербург,Социальная инициатива,2,0.945,0.06,6
ngo_0030,Образовательный проект «Местный лидер», Санкт-Петербург ,Санкт-Петербург,Образовательный проект,7,0.829,0.162,1
ngo_0031,Волонтёрский центр «Живая карта»,Уфа,Уфа,Волонтёрский центр,10,0.698,0.035,5
ngo_0032,Волонтёрский центр «Добрые руки Поволжья», Москва ,Москва,Волонтёрский центр,9,0.551,0.149,0
ngo_0033,Социальная инициатива «Наш дом — природа»,САМАРА,Самара,Социальная инициатива,13,0.931,0.005,4
ngo_0034,Фонд «Первый шаг к жизни»,УФА,Уфа,Благотворительный фонд,8,0.694,0.115,1
ngo_0035,АНО «Ресурс добра», Москва ,Москва,Некоммерческая организация,12,0.933,0.048,1
ngo_0036,Благотворительный фонд «Подари тепло», МОСКВА ,Москва,Благотворительный фонд,3,0.821,0.034,2
ngo_0037,АНО «Участие», Уфа ,Уфа,Некоммерческая организация,7,0.816,0.026,4
ngo_0038,Инициатива «Раздельный сбор — общее дело»,МОСКВА,Москва,Социальная инициатива,5,0.93,0.097,1
ngo_0039,Центр добровольчества «Казанские волонтёры», Санкт-Петербург ,Санкт-Петербург,Волонтёрский центр,7,0.894,0.159,1
ngo_0040,АНО «Взаимодействие»,Казань,Казань,Некоммерческая организация,20,0.546,0.019,1
ngo_0041,Образовательная программа «Включай!», Москва ,Москва,Образовательный проект,6,0.91,0.078,1
ngo_0042,Просветительский проект «Школа добрых дел», Волгоград ,Волгоград,Образовательный проект,12,0.781,0.109,2
ngo_0043,НКО «Право на жизнь», НОВОСИБИРСК ,Новосибирск,Некоммерческая организация,5,0.801,0.017,1
ngo_0044,Просветительский центр «Правовой компас», Москва ,Москва,Образовательный проект,12,0.903,0.239,5
ngo_0045,Волонтёрский центр «Псковские добровольцы», Москва ,Москва,Волонтёрский центр,10,0.542,0.03,5
ngo_0046,Просветительская инициатива «Медиаграмотность»,Ростов-на-Дону,Ростов-на-Дону,Образовательный проект,9,0.798,0.196,4
ngo_0047,Благотворительный фонд «Свет надежды», Санкт-Петербург ,Санкт-Петербург,Благотворительный фонд,19,0.789,0.068,2
ngo_0048,Благотворительный фонд «Живём вместе»,Екатеринбург,Екатеринбург,Благотворительный фонд,7,0.789,0.024,4
ngo_0049,Волонтёрский центр «Добровольцы Москвы», Санкт-Петербург ,Санкт-Петербург,Волонтёрский центр,14,0.738,0.104,2
ngo_0050,Социальная инициатива «Уличная библиотека»,Уфа,Уфа,Социальная инициатива,5,0.714,0.122,3
ngo_0051,Просветительский центр «Культура участия», ВОЛГОГРАД ,Волгоград,Образовательный проект,17,0.881,0.036,0
ngo_0052,Фонд «Серебряный возраст»,САНКТ-ПЕТЕРБУРГ,Санкт-Петербург,Благотворительный фонд,19,0.988,0.029,2
ngo_0053,АНО «Объединение добрых дел», Пермь ,Пермь,Некоммерческая организация,17,0.394,0.019,1
