volunteer_id,country,city,about_me,skills,help_directions,experience_level,preferred_tasks,task_format,availability,communication_languages,city_clean,format_clean,skills_clean,directions_clean,age,availability_hours_week,profile_completeness,volunteer_reliability_score,volunteer_cancel_rate,active_tasks_count,created_at,city_raw,format_raw,skills_raw,directions_raw,experience_raw
vol_00000,Россия,Москва,"Хочет начать волонтёрскую практику с понятных задач и постепенно набирать опыт. Больше всего интересны социальных проектах и адресной помощи людям. Сильные стороны — коммуникацией с людьми и командами, социальными сетями и контентом, медицинскими и профилактическими инициативами.","Коммуникация, SMM, Медицина, IT, Программирование, Работа с детьми, Аналитика, sql",Социальная помощь,Начинающий,Социальная помощь,Оффлайн,9–12 часов в неделю,"Русский, Английский, Немецкий",Москва,Оффлайн,"Коммуникация, SMM, Медицина, IT, Программирование, Работа с детьми, Аналитика, sql",Социальная помощь,28,10,0.835,0.514,0.049,1,2025-11-14,Москва,Оффлайн,"Коммуникация, SMM, Медицина, IT, Программирование, Работа с детьми, Аналитика, sql",  соц помощь  ,Начинающий
vol_00001,Россия,Новосибирск,"Интересуется направлениями: Спорт и ЗОЖ, Образование. В задачах полезны навыки, связанные с психологической поддержкой и бережной коммуникацией, документами и административными задачами. Предпочтительный формат участия — оффлайн.","Психология, Работа с документами","Спорт и ЗОЖ, Образование, Правозащита",Опытный,"Спорт и ЗОЖ, Образование, Правозащита",Оффлайн,До 4 часов в неделю,Русский,Новосибирск,Оффлайн,"Психология, Работа с документами",Спорт и ЗОЖ|Образование|Правозащита,34,4,0.84,0.437,0.105,0,2026-01-18, НОВОСИБИРСК ,Оффлайн,"Психология, Работа с документами",зож / образование / правозащита,Опытный
vol_00002,Россия,Омск,"Хочет помогать в проектах, где нужен практический результат для людей или команды. Ближе всего направления: Помощь пожилым, Здравоохранение; основные навыки — Юридические услуги, Работа с документами, Программирование.","Юридические услуги, Работа с документами, Программирование, Аналитика, Медицина, Копирайтинг, coordination","Помощь пожилым, Здравоохранение, Животные, Правозащита, Социальная помощь",Начинающий,"Помощь пожилым, Здравоохранение, Животные",Смешанный,9–12 часов в неделю,"Русский, Английский",Омск,Смешанный,"Юридические услуги, Работа с документами, Программирование, Аналитика, Медицина, Копирайтинг, coordination",Помощь пожилым|Здравоохранение|Животные|Правозащита|Социальная помощь,27,12,0.738,0.769,0.017,0,2025-08-06,Омск,Смешанный,"Юридические услуги, Работа с документами, Программирование, Аналитика, Медицина, Копирайтинг, coordination",помощь пожилым; здоровье; животные; правозащита; помощь людям,Начинающий
vol_00003,Россия,Екатеринбург,"Ориентируется на задачи, где можно применить координацией волонтёрских команд, юридическими и консультационными задачами, кабинетное исследование. Комфортно взаимодействует с координатором и передаёт результат в понятном виде.","Координация волонтёров, Юридические услуги, кабинетное исследование","Социальная помощь, Экология, Животные",Начинающий,"Социальная помощь, Экология, Животные",Онлайн,5–8 часов в неделю,"Русский, Английский",Екатеринбург,Онлайн,"Координация волонтёров, Юридические услуги, кабинетное исследование",Социальная помощь|Экология|Животные,18,7,0.393,0.756,0.098,2,2025-08-03,Екатеринбург,Онлайн,"Координация волонтёров, Юридические услуги, кабинетное исследование",  помощь людям / эко / животные  ,Начинающий
vol_00004,Россия,Екатеринбург,"Интересуется волонтёрскими задачами в городе Екатеринбург и онлайн-проектами, если формат это позволяет. Ближе всего темы: Сельские территории, Миграция.","Копирайтинг, Фандрайзинг, Юридические услуги","Сельские территории, Миграция, Культура и искусство, Люди без жилья",Опытный,"Сельские территории, Миграция, Культура и искусство",Оффлайн,13–17 часов в неделю,Русский,Екатеринбург,Оффлайн,"Копирайтинг, Фандрайзинг, Юридические услуги",Сельские территории|Миграция|Культура и искусство|Люди без жилья,35,13,0.904,0.669,0.013,0,2026-01-26,  ЕКАТЕРИНБУРГ  ,Оффлайн,"Копирайтинг, Фандрайзинг, Юридические услуги",  села / адаптация / музеи / люди без жилья  ,Опытный
vol_00005,Россия,Санкт-Петербург,"Готов(а) помогать НКО в формате «Онлайн». В работе важны понятные ожидания, регулярная связь с координатором и возможность увидеть результат помощи.","PR, SMM, IT","Дети и молодёжь, Сельские территории, Спорт и ЗОЖ",Опытный,"Дети и молодёжь, Сельские территории, Спорт и ЗОЖ",Онлайн,5–8 часов в неделю,"Русский, Английский",Санкт-Петербург,Онлайн,"PR, SMM, IT",Дети и молодёжь|Сельские территории|Спорт и ЗОЖ,39,8,0.61,0.86,0.083,2,2025-10-10,САНКТ-ПЕТЕРБУРГ,Онлайн,"PR, SMM, IT","молодежь,  села,  здоровый образ жизни",Опытный
vol_00006,Россия,Екатеринбург,"Выбирает задачи, где пригодятся юридическими и консультационными задачами, коммуникации, анализом данных и структурированием информации. Интересны проекты по направлениям: Здравоохранение, Экология.","Юридические услуги, коммуникации, Аналитика, Копирайтинг, Фото и видео, аниматор, архив","Здравоохранение, Экология",Начинающий,"Здравоохранение, Экология",Онлайн,До 4 часов в неделю,Русский,Екатеринбург,Онлайн,"Юридические услуги, коммуникации, Аналитика, Копирайтинг, Фото и видео, аниматор, архив",Здравоохранение|Экология,23,4,0.806,0.485,0.002,0,2026-02-23,Екатеринбург,Онлайн,"Юридические услуги, коммуникации, Аналитика, Копирайтинг, Фото и видео, аниматор, архив","здравоохранение,  экологические проекты",Начинающий
vol_00007,Россия,Санкт-Петербург,"Сильнее всего мотивируют задачи с конкретным полезным результатом. Может помогать в направлениях: Люди без жилья, Образование; навыки — помощь новичкам, Фандрайзинг, Исследования, Дизайн.","помощь новичкам, Фандрайзинг, Исследования, Дизайн, Коммуникация","Люди без жилья, Образование, Инклюзия, Животные",Эксперт,"Люди без жилья, Образование, Инклюзия",Оффлайн,5–8 часов в неделю,"Русский, Английский",Санкт-Петербург,Оффлайн,"помощь новичкам, Фандрайзинг, Исследования, Дизайн, Коммуникация",Люди без жилья|Образование|Инклюзия|Животные,22,7,0.681,0.571,0.005,3,2025-08-16, Санкт-Петербург ,Оффлайн,"помощь новичкам, Фандрайзинг, Исследования, Дизайн, Коммуникация","бездомные,  просвещение,  доступная среда,  животные",Эксперт
vol_00008,Россия,Санкт-Петербург,"Комфортно включается в работу НКО и помогает доводить задачи до результата. Больше всего интересны инициативах, связанных со спортом и здоровым образом жизни. Сильные стороны — анализом данных и структурированием информации, документами и административными задачами, медицинскими и профилактическими инициативами.","Аналитика, Работа с документами, Медицина, Наставничество, Исследования, Коммуникация, Переводы","Спорт и ЗОЖ, Сельские территории, Инклюзия",Опытный,"Спорт и ЗОЖ, Сельские территории, Инклюзия",Онлайн,До 4 часов в неделю,"Русский, Английский",Санкт-Петербург,Онлайн,"Аналитика, Работа с документами, Медицина, Наставничество, Исследования, Коммуникация, Переводы",Спорт и ЗОЖ|Сельские территории|Инклюзия,19,3,0.735,0.91,0.044,1,2025-12-19,Санкт-Петербург,Онлайн,"Аналитика, Работа с документами, Медицина, Наставничество, Исследования, Коммуникация, Переводы","спорт, села, доступная среда",Опытный
vol_00009,Россия,Самара,"Интересуется направлениями: Спорт и ЗОЖ, Культура и искусство. В задачах полезны навыки, связанные с обучением и образовательными форматами, наставничеством и поддержкой участников, коммуникациями и продвижением. Предпочтительный формат участия — оффлайн.","Педагогика, Наставничество, PR","Спорт и ЗОЖ, Культура и искусство, Дети и молодёжь, Помощь пожилым",Опытный,"Спорт и ЗОЖ, Культура и искусство, Дети и молодёжь",Оффлайн,До 4 часов в неделю,"Русский, Английский",Самара,Оффлайн,"Педагогика, Наставничество, PR",Спорт и ЗОЖ|Культура и искусство|Дети и молодёжь|Помощь пожилым,46,2,0.914,0.807,0.013,3,2025-11-03, Самара ,Оффлайн,"Педагогика, Наставничество, PR","спорт,  искусство,  дети,  помощь пожилым",Опытный
